practitioner_role_id,location_id,location_reference
4776237b-2fcf-4481-ba1c-eecdd7cbb77f,d421de8e-6378-4606-b750-4d8f7387e2ff,Location/d421de8e-6378-4606-b750-4d8f7387e2ff
4776237b-2fcf-4481-ba1c-eecdd7cbb77f,46afd6ab-0445-495b-b0b9-fb090848facf,Location/46afd6ab-0445-495b-b0b9-fb090848facf
4776237b-2fcf-4481-ba1c-eecdd7cbb77f,e877d73c-ceaf-4e36-b715-a38dca097f4b,Location/e877d73c-ceaf-4e36-b715-a38dca097f4b
30b0a1a2-cc58-4ee2-ba79-f7a39c025d37,366e2abb-a913-402b-b5b8-e1cd55d58c22,Location/366e2abb-a913-402b-b5b8-e1cd55d58c22
30b0a1a2-cc58-4ee2-ba79-f7a39c025d37,9507da90-5c4b-41fb-b865-3716841d2ca0,Location/9507da90-5c4b-41fb-b865-3716841d2ca0
468c9229-7541-4b38-a266-ab0b62d529ca,059862b7-5489-443b-bedf-0ca9ae8ee7f7,Location/059862b7-5489-443b-bedf-0ca9ae8ee7f7
468c9229-7541-4b38-a266-ab0b62d529ca,f523678a-6c22-4112-831c-0d9b4e431230,Location/f523678a-6c22-4112-831c-0d9b4e431230
468c9229-7541-4b38-a266-ab0b62d529ca,e2279d9f-a862-4bdc-a099-205bd1298388,Location/e2279d9f-a862-4bdc-a099-205bd1298388
468c9229-7541-4b38-a266-ab0b62d529ca,8c0fb3c1-966b-4006-a8cd-86d89ced12ad,Location/8c0fb3c1-966b-4006-a8cd-86d89ced12ad
468c9229-7541-4b38-a266-ab0b62d529ca,c81433fa-5c34-4591-9c1f-c3b3cd6ab338,Location/c81433fa-5c34-4591-9c1f-c3b3cd6ab338
468c9229-7541-4b38-a266-ab0b62d529ca,eb562e1d-ebc7-492a-af54-0ccd0b3d432d,Location/eb562e1d-ebc7-492a-af54-0ccd0b3d432d
468c9229-7541-4b38-a266-ab0b62d529ca,7ee5e362-6295-4ea7-a840-c1d492998d93,Location/7ee5e362-6295-4ea7-a840-c1d492998d93
468c9229-7541-4b38-a266-ab0b62d529ca,dadfc6ea-9035-4019-8dfe-46ed0c02196d,Location/dadfc6ea-9035-4019-8dfe-46ed0c02196d
468c9229-7541-4b38-a266-ab0b62d529ca,188f9130-6412-40b5-8492-0fa6a9a1ca93,Location/188f9130-6412-40b5-8492-0fa6a9a1ca93
468c9229-7541-4b38-a266-ab0b62d529ca,461c23f4-ebdf-4eda-85e4-699e48a64bbc,Location/461c23f4-ebdf-4eda-85e4-699e48a64bbc
468c9229-7541-4b38-a266-ab0b62d529ca,c47192be-9d5e-467a-ad2f-f6048b68b174,Location/c47192be-9d5e-467a-ad2f-f6048b68b174
468c9229-7541-4b38-a266-ab0b62d529ca,9b178db3-ade3-49ef-b284-c3fbbf5d76d6,Location/9b178db3-ade3-49ef-b284-c3fbbf5d76d6
